a52dec 0.7.4-9
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-2
linux 4.11.3-1
linux-api-headers 4.10.1-1
linux-firmware 20170422.ade8332-1
linux-headers 4.11.3-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.12.2-1
lua 5.3.4-1
lua52 5.2.4-2
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.171-1
lxappearance 0.6.3-1
lxtask 0.1.8-1
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
mdadm 4.0-1
media-player-info 22-2
mesa 17.1.1-1
mime-types 9-1
minizip 1:1.2.11-1
mjpegtools 2.1.0-3
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.25.0-1
mpv 1:0.25.0-3
mtdev 1.1.5-1
mutter 3.24.2+18+g0f7c3f367-1
nano 2.8.4-1
nautilus 3.24.1-1
nautilus-sendto 3.8.4+41+gf790d15-1
ncurses 6.0+20170527-1
ncurses5-compat-libs 6.0+20161224-1
neon 0.30.2-2
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
ninja 1.7.2-1
nm-connection-editor 1.8.0-1
nodejs 8.1.0-1
noto-fonts 20170428-1
npm 4.6.1-1
npth 1.5-1
nspr 4.14-1
nss 3.30.2-1
numix-gtk-theme 2.6.6-1
nvidia 381.22-2
nvidia-utils 381.22-1
ocl-icd 2.2.11-1
openal 1.18.0-1
openbsd-netcat 1.130_3-1
opencore-amr 0.1.5-1
opencv 3.2.0-4
openexr 2.2.0-3
openjade 1.3.2-4
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
opensp 1.5.2-7
openssh 7.5p1-2
openssl 1.1.0.f-1
openssl-1.0 1.0.2.l-1
opus 1.1.5-1
orc 0.4.26+2+g249c709-1
os-prober 1.75-1
p11-kit 0.23.5-1
p7zip 16.02-3
pacaur 4.7.6-1
pacman 5.0.1-5
pacman-mirrorlist 20170427-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
paper-gtk-theme-git 301.f75724f-1
paper-icon-theme-git 719.f05f022c-1
paprefs 0.9.10-6
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.23-1
perl 5.26.0-1
perl-error 0.17024-2
perl-file-next 1.16-2
perl-file-which 1.21-2
perl-sgmls 1:1.1-3
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-4
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
perl-xml-sax-expat 0.51-5
phonon-qt5 4.9.1-4
phonon-qt5-vlc 0.9.1-2
pinentry 1.0.0-1
pipelight 1:0.2.8.2-2
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.55.0-3
popt 1.16-8
potrace 1.14-1
procps-ng 3.3.12-1
proggyfonts 0.1-14
psmisc 22.21-3
pulseaudio 10.0-3
pulseaudio-alsa 2-3
pulseaudio-bluetooth 10.0-3
pulseaudio-gconf 10.0-3
pwndbg 2016.09.22-2
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
python 3.6.1-1
python-appdirs 1.4.3-1
python-atspi 2.24.0-1
python-cairo 1.13.3-1
python-capstone 3.0.4-4
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-future 0.16.0-2
python-gobject 3.24.1-1
python-packaging 16.8-2
python-pip 9.0.1-2
python-ply 3.10-1
python-powerline-git 1:r2577.8286674b-1
python-psutil 5.2.2-1
python-ptrace 0.9.2-1
python-pycparser 2.17-2
python-pyelftools 0.24-2
python-pyparsing 2.2.0-1
python-setuptools 1:36.0.1-2
python-six 1.10.0-3
python-unicorn 1.0.1-1
python-xdg 0.25-4
python2 2.7.13-2
python2-appdirs 1.4.3-1
python2-babel 2.4.0-1
python2-cairo 1.13.3-1
python2-chardet 3.0.4-1
python2-dbus 1.2.4-2
python2-docutils 0.13.1-2
python2-gobject2 2.28.6-13
python2-idna 2.5-1
python2-imagesize 0.7.1-2
python2-jinja 2.9.6-1
python2-markupsafe 1.0-1
python2-packaging 16.8-2
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pytz 2017.2-1
python2-requests 2.17.3-1
python2-setuptools 1:36.0.1-2
python2-six 1.10.0-3
python2-snowballstemmer 1.2.1-2
python2-sphinx 1.6.2-1
python2-sphinx-alabaster-theme 0.7.10-1
python2-sphinx_rtd_theme 0.2.4-1
python2-sphinxcontrib-websupport 1.0.1-1
python2-sqlalchemy 1.1.10-1
python2-typing 3.6.1-1
python2-urllib3 1.21.1-1
python2-whoosh 2.7.4-2
pythonqt 3.1-3
qpdf 6.0.0-2
qt4 4.8.7-20
qt5-base 5.9.0-2
qt5-declarative 5.9.0-1
qt5-location 5.9.0-1
qt5-multimedia 5.9.0-1
qt5-script 5.9.0-1
qt5-sensors 5.9.0-1
qt5-speech 5.9.0-1
qt5-svg 5.9.0-1
qt5-tools 5.9.0-1
qt5-webchannel 5.9.0-1
qt5-webkit 5.9.0-1
qt5-x11extras 5.9.0-1
qt5-xmlpatterns 5.9.0-1
quazip 0.7.3-2
randrproto 1.5.0-1
re2 20170501-1
readline 7.0.003-1
recordproto 1.14.2-2
redshift 1.11-4
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-2
rofi 1.3.1-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
run-parts 4.8.1-1
rxvt-unicode 9.22-3
rxvt-unicode-terminfo 9.22-3
s-nail 14.8.16-2
sbc 1.3-1
schroedinger 1.0.11-3
scons 2.5.1-1
screencloud 1.3.1-6
screengrab 1.2.1-3
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
